Contratto;Id Ticket;Iniziata il;Conclusa il;Azienda;Tipologia Attività;Linea di Contratto;Descrizione;Riferimento Progetto;Durata;Quantità Linea Contratto;Creato da;;
;41217;08/01/2025 09:00;08/01/2025 13:00;FGB STUDIO;Remoto;;Proseguito sviluppo della landing page FGB con perfezionamento della tendina interattiva: animazione fluida durante lo scroll e posizionamento dinamico migliorato. Rifinita la grafica e la disposizione nella sezione dettaglio “Energia” per una visualizzazione più chiara e intuitiva. Il lavoro è ancora in progresso per ottimizzare le transizioni e il layout responsive.;;04:00;;Matteo Di Salvo;;
;42185;08/01/2025 09:00;08/01/2025 09:15;BERTOCCO AIR TRUCK TECHNOLOGY SRL;Remoto;;Chiamata da parte di Marianna dicendo che ha la schermata nera del notebook;;;;;;
77;42208;08/01/2025 09:00;08/01/2025 11:00;BERTOCCO AIR TRUCK TECHNOLOGY SRL;Remoto;"System Engineer Remote C""""";Effettuato tentativi di fix aggiuntivi su VM Mago4 per individuare problemi, su altre VM con Mago4 client problema non si ripresenta, in attesa di risoluzione.;;02:00;;Marco Birocchi;;
;42276;08/01/2025 09:00;08/01/2025 14:00;ITX ITALIA SRL;On-Site;;Presidio;;05:00;;Davide Cestone;;
;42158;08/01/2025 09:15;08/01/2025 09:30;ASPEX ARL;Remoto;;Verificato alert sul portale MPS e disponibilità del toner in magazzino. Portato toner a Veronica per invio al cliente, aggiornato file excel ricambi magazzino.;;00:15;;Alex Ferrario;;
;42183;08/01/2025 09:15;08/01/2025 09:45;ISOTERMA SRL;Remoto;;Cambiata posizione della cartella + recuperato file Excel richiesto che non si era aggiornato;;00:30;;Matteo Signo;;
;42182;08/01/2025 09:20;08/01/2025 09:50;GENERALFRIGO SRL;Remoto;;Creato reservation ip di un dispositivo in produzione;;00:30;;Gabriele De Palma;;
;42189;08/01/2025 09:31;08/01/2025 13:31;ELECTRALINE 3PMARK SPA;;;Configurazione ambiente di replica VM Electraline: Eseguita pulizia del sistema, aggiornamento del firmware e degli update di Windows sul server 172.12.1.20 Il server Veeam con IP 172.14.1.40 è stato configurato come repository per le repliche delle VM Electraline presenti nel data center Definite regole personalizzate sul firewall per consentire l’esecuzione delle repliche tra i due server Creati task di replica con la seguente pianificazione: Replica completa iniziale prevista per domenica Da lunedì a venerdì, repliche incrementali ogni 2 ore, a partire dalle 08:30, per un totale di 5 repliche al giorno Retention policy impostata su 25 repliche, equivalenti a 1 settimana di storico;P24-305 - ELECTRALINE 3P MARK - implementazione struttura informatica scad 30 / 04 / 2025;04:00;;Gabriele De Palma;;
;42175;08/01/2025 09:40;08/01/2025 10:10;HYOSUNG EUROPE SRL;Remoto;;Verificato su console KES PC in elenco e ultima connesione. Contattato Hyosung e chiesto se possibile verificare i dispositivi in elenco, inviato mail al Sig. Chae come richiesto.;;00:30;;Alex Ferrario;;
;42195;08/01/2025 09:45;08/01/2025 10:30;ELECTRALINE 3PMARK SPA;Remoto;;Chiamata da parte di Emanuele per un problema di stampe etichette dal nuovo percorso DC su un PC;;;;;;
;42203;08/01/2025 10:15;08/01/2025 10:30;BAIT Service S.r.l.;On-Site;;Visto con Gabriele configurazione del criterio KES per distibuzione della nuova versione dell'endpoint.;;00:15;;Alex Ferrario;;
;42199;08/01/2025 10:30;08/01/2025 10:45;SOMO PRODUZIONE;Remoto;;Chiamata da parte di Matteo Guglielmone per la cartella ripristinata Disegni;;;;;;
;42209;08/01/2025 10:30;08/01/2025 13:00;SPOLIDORO STUDIO AVVOCATO;On-Site;;Eseguito primo avvio notebook e configurazione account local admin Bait, installazione aggiornamenti driver HP + BIOS, installazione di tutti gli aggiornamenti Windows disponibili, installazione software richiesti dall'utente. Connesso al PC dell'utente in studio e abilitato desktop remoto e richiesto credenziali utente per la configurazione su notebook. Creato utenza VPN su firewall WatchGuard e salvato credenziali in Keeper. Verificato nomi host da console KES e assegnato al notebook SPLX-13, installazione agent + deploy KES da console e verificato corretta installazione.;P25-705 - Spolidoro Nuovo Notebook Liliana;02:30;;Alex Ferrario;;
;41813;08/01/2025 10:45;08/01/2025 11:00;ISOTERMA SRL;Remoto;;I permessi di modifica di default ce li hanno;;;;;;
;42196;08/01/2025 10:45;08/01/2025 11:30;GRUPPO TORO;Remoto;;Utente riferisce di aver erroneamente trascinato la cartella Pubblica in un'altra sottocartella e non riesce a trovarla e chiede se possibile ripristinarla. Connesso al PC dell'utente ed eseguito ricerca della cartella che era stata spostata nel percorso share\SCANNER\Ragioneria, utente chiede di riportarla nella posizione originale sotto Share. Verificato da backup su server la posizione precedente della cartella. Verificato i permessi di accesso, spostato la cartella nella posizione originaria e ricondiviso la cartella. Ricontattato utente e chiesto di verificare che la cartella sia correttamente visibile, utente conferma.;;00:45;;Alex Ferrario;;
;42190;08/01/2025 10:55;08/01/2025 11:25;TECNINOX S.R.L;Remoto;;Controllo licenze e confermo il numero 33 di dispositivi;;00:30;;Gabriele De Palma;;
;42186;08/01/2025 11:04;08/01/2025 12:04;ELECTRALINE 3PMARK SPA;Remoto;;Preparato file contente informazioni per generare le vpn site to site tra la rete del datatcenter per quanto riguarda le vm di electraline e l assitenza di Incas;P24-305 - ELECTRALINE 3P MARK - implementazione struttura informatica scad 30 / 04 / 2025;01:00;;Gabriele De Palma;;
;42166;08/01/2025 12:30;08/01/2025 12:45;ISOTERMA SRL;Remoto;;con Veronica scritto a Ingram per capire come aumentare lo spazio di SharePoint;;;;;;
;41217;08/01/2025 14:00;08/01/2025 18:00;FGB STUDIO;Remoto;;Proseguito sviluppo della landing page FGB con perfezionamento della tendina interattiva: animazione fluida durante lo scroll e posizionamento dinamico migliorato. Rifinita la grafica e la disposizione nella sezione dettaglio “Energia” per una visualizzazione più chiara e intuitiva. Il lavoro è ancora in progresso per ottimizzare le transizioni e il layout responsive.;;04:00;;Matteo Di Salvo;;
;42209;08/01/2025 14:00;08/01/2025 15:30;SPOLIDORO STUDIO AVVOCATO;On-Site;;Installazione client SSL VPN WatchGuard, connesso in VPN ed eseguito join a dominio, configurato profilo utente di dominio liliana.alberizzi, creato account microsoft per licenza Office H&B + installazione e attivazione e salvato credenziali in Keeper, test di connessione con la VPN dell'utente riuscito con successo, creato sul desktop collegamento per connessione i desktop remoto sul PC in studio ed eseguito prove di collegamento. Contattato utente e riferito che il PC è stato preparato e spiegato come utilizzare il collegamento remoto.;P25-705 - Spolidoro Nuovo Notebook Liliana;01:30;;Alex Ferrario;;
;42219;08/01/2025 14:00;08/01/2025 17:30;BAIT Service S.r.l.;On-Site;;Dal tenant O365 di Bait sono stati creati gli alias della mailbox sistemisti@baitservice.it:wasabi.tecninox@baitservice.itwasabi.comunedilentate@baitservice.itwasabi.mindevelopment@baitservice.itwasabi.gp-cranes@baitservice.itwasabi.gruppo-toro@baitservice.itwasabi.garibaldina@baitservice.itwasabi.eva@baitservice.itwasabi.cleanroom@baitservice.itwasabi.bertocco@baitservice.itwasabi.aspex@baitservice.itwasabi.somo-produzione@baitservice.itwasabi.studio-risi@baitservice.itwasabi.generalfrigo@baitservice.itwasabi.electraline@baitservice.itwasabi.electraline-cbb@baitservice.itwasabi.delta2000@baitservice.itwasabi.silanos@baitservice.itwasabi.maxmoda@baitservice.itComune di Lentate: creazione nuovo bucket nella nuova Console Wasabi Retelit abilitando tutti i criteri di sicurezza critici + modificato backup dal QNAP-TS-863UR + aggiornata documentazione in Keeper;;03:30;;Matteo Signo;;
;42189;08/01/2025 14:37;08/01/2025 15:37;ELECTRALINE 3PMARK SPA;On-Site;;Le nuove VM create sull’host principale del data center (IP: 172.12.1.50) in vista della futura migrazione sono state aggiunte al task di backup del server Veeam presente nella sede da noi;P24-305 - ELECTRALINE 3P MARK - implementazione struttura informatica scad 30 / 04 / 2025;01:00;;Gabriele De Palma;;
;42207;08/01/2025 14:48;08/01/2025 15:18;SILANOS SRL;Remoto;;Analizzato e disabilitato certificati exchange server ormai scaduti da tempo;;00:30;;Gabriele De Palma;;
;42205;08/01/2025 15:00;08/01/2025 15:15;ISOTERMA SRL;Remoto;;Collegamento da remoto e visto la problematica del file Excel;;;;;;
;42177;08/01/2025 15:15;08/01/2025 15:30;BAIT Service S.r.l.;Remoto;;Riscontrato che si tratta del Synology di Bertocco;;;;;;
82;42162;08/01/2025 15:20;08/01/2025 15:35;ASPEX ARL;Remoto;;RIconfigurato Mail OAuth2 su Mago successivamente a cambio psw;;00:15;;Marco Birocchi;;
;42101;08/01/2025 15:30;08/01/2025 15:45;BAIT Service S.r.l.;On-Site;;Sollecitata l'assistenza Acronis;;00:15;;Matteo Signo;;
;42165;08/01/2025 15:45;08/01/2025 16:15;FEDERAZIONE ITALIANA MOTONAUTICA;Remoto;;È stata eseguita con successo l'estrazione della lista dei nominativi associati alle licenze Microsoft 365 del cliente FIM;;00:30;;Davide Cestone;;
;42193;08/01/2025 15:45;08/01/2025 16:00;TECNINOX S.R.L;Remoto;;Password della mailbox marketing@tecninox.com modifica e aggiornata in Bitwarden + mandata comunicazione via email a Elena;;00:15;;Matteo Signo;;
;42203;08/01/2025 15:45;08/01/2025 16:00;BAIT Service S.r.l.;On-Site;;Avvisato Veronica e Alessandro che il PC di Liliana è pronto per la consegna e concordato ritiro in sede per Lunedì 04/08. Inviato mail a Niccolò con info per la consegna del notebook.;;00:15;;Alex Ferrario;;
;42155;08/01/2025 16:15;08/01/2025 16:30;GARIBALDINA SRL;Remoto;;Creazione dell'area di lavoro dedicata, in preparazione all'installazione degli MDR;S25-681 - Garibaldina Kaspersky MDR;00:15;;Davide Cestone;;
;42203;08/01/2025 16:30;08/01/2025 17:00;BAIT Service S.r.l.;On-Site;;Parlato con Marco per creazione ticket e progetto per Spolidoro.;;00:30;;Alex Ferrario;;
;42217;08/01/2025 16:30;08/01/2025 17:00;BAIT Service S.r.l.;Remoto;;Formazione sulla creazione di aree di lavoro sulla console di kaspersky con Signo e instruzioni sul corretto metodo di lavoro;;00:30;;Davide Cestone;;
;42172;08/01/2025 17:00;08/01/2025 17:30;ASPEX ARL;Remoto;;Effettuata estrazione richiesta in merito al numero di licenze Advanced e MDR;;00:30;;Davide Cestone;;
;42210;08/01/2025 17:00;08/01/2025 17:15;ELECTRALINE 3PMARK SPA;Remoto;;Verificato licenze MDR da console. E' stato aggiunto il nuovo server DC ELECTRALINE-DC ma è ancora presente il vecchio SRVDC che attualmente è spento. La licenza temporaneamente va mantenuta perchè sul vecchio server è presente il software delle timbrature e bisogna attendere la migrazione sul nuovo.;;00:15;;Alex Ferrario;;
;42213;08/01/2025 17:30;08/01/2025 17:50;ASPEX ARL;Remoto;;Eseguito attivazione e disattivazione degli inoltri richiesti.;;00:20;;Alex Ferrario;;
;42227;08/01/2025 17:30;08/01/2025 18:00;BAIT Service S.r.l.;On-Site;;Bait - istruzioni a Davide per creazione KES MDR;;00:30;;Matteo Signo;;
;42265;08/04/2025 08:00;08/04/2025 13:00;ITX ITALIA SRL;Remoto;;Presidio zara;;05:00;;Niccolò Ragusa;;
;41217;08/04/2025 09:00;08/04/2025 13:00;FGB STUDIO;Remoto;;Proseguita la lavorazione su FGB con modifiche complete alla visualizzazione dettagliata dei progetti suddivisi per area geografica (America, Europa, APAC, MEA). Ottimizzata anche la sezione relativa ai dettagli dei singoli store, con layout aggiornato e visualizzazione dati migliorata per garantire coerenza e chiarezza tra le varie viste.;;04:00;;Matteo Di Salvo;;
;42080;08/04/2025 09:00;08/04/2025 09:00;COMUNE DI LENTATE SUL SEVESO;On-Site;;Risposta da parte dell'assistenza Deda: Risolto con la collega Roberta BiasiSaluti,Jonathan Felix Da Silva;;00:00;;Matteo Signo;;
;41266;08/04/2025 09:00;08/04/2025 10:20;OR.VE.CA;On-Site;;Controllo dispositivi EF401 – Verifica WiFi (Low/High), velocità OS, barcode, readings e speaker PDA1 WiFi Low: 47% WiFi High: 100% Speaker: OK Barcode: non funzionante Readings: non funzionante Stato: da formattare PDA2 WiFi Low: 40% WiFi High: 100% Speaker: OK Barcode: OK Readings: OK Stato: da formattare PDA3 Errore Play Store (da verificare) Speaker: OK Barcode: OK Readings: OK Prestazioni: leggermente lenta Stato: da formattare PDA4 Problema: surriscaldamento WiFi Low: non testato WiFi High: non testato Speaker: OK Barcode: OK Readings: OK Prestazioni: lenta Stato: da formattare;;01:20;;Matteo Di Salvo;;
76;42269;08/04/2025 09:00;08/04/2025 10:45;MAX MODA SPA;Remoto;"System Engineer Remote S1""""";Effettuato analisi Cambio Password Administrator con relativo impatto inviato a Debora via mail, in attesa di risposta.;;01:45;;Marco Birocchi;;
;42272;08/04/2025 09:00;08/04/2025 13:00;COMUNE DI LENTATE SUL SEVESO;On-Site;;Comune di Lentate - presidio;;04:00;;Matteo Signo;;
;42276;08/04/2025 09:00;08/04/2025 14:00;ITX ITALIA SRL;On-Site;;presidio zara;;05:00;;Arlind Hoxha;;
;42277;08/04/2025 09:00;08/04/2025 09:30;BAIT Service S.r.l.;On-Site;;organizzazione attività della settimana;;00:30;;Davide Cestone;;
;42163;08/04/2025 09:15;08/04/2025 09:15;COMUNE DI LENTATE SUL SEVESO;On-Site;;L'assistenza Deda ha risolto + test con la cliente, ok;;00:00;;Matteo Signo;;
;42214;08/04/2025 09:30;08/04/2025 10:30;AMROP - G&P CONSULTANTS SRL;Remoto;;Effettuata la verifica della compatibilità dei dispositivi come da richiesta per sostituzione o upgrade a win11;;01:00;;Davide Cestone;;
;41748;08/04/2025 10:00;08/04/2025 10:00;COMUNE DI LENTATE SUL SEVESO;On-Site;;Disinstallazione KES vecchio e installazione Agent KES nuovo su 10 client + eseguito deploy ma gli Endpoint non si attivano + aggiornato file Excel con tutte le info dei computer:- DESKTOP-KEM3Q4B- NEW2022008- W10POL02- ED-CIABATTONI- TEC05- PC-DANZIVINO- W10POL-COLOMBO- NEW2021001- SEG-BARBIERATO- TEC03Inoltre eseguito upgrade build di Win10 + update Windows;S25-668 - Comune di Lentate - Installazione Kaspersky;00:00;;Matteo Signo;;
;42270;08/04/2025 10:00;08/04/2025 10:00;COMUNE DI LENTATE SUL SEVESO;On-Site;;Abilitazione alle cartelle richieste + test con Christian e Elena, ok;;00:00;;Matteo Signo;;
;42267;08/04/2025 10:30;08/04/2025 10:45;ISOTERMA SRL;Remoto;;Effettuata riconfigurazione dei calendari presenti in outlook che sono stati rilevati come malfunzionanti;;00:15;;Davide Cestone;;
;42155;08/04/2025 10:45;08/04/2025 12:45;GARIBALDINA SRL;Remoto;;Internamente al tenant sono stati configurati i criteri, le attività, i polling dei dispositivi presenti nella rete, installato il punto di distribuzione sul server DC ed iniziata la migrazione dei dispositivi;S25-681 - Garibaldina Kaspersky MDR;02:00;;Davide Cestone;;
